Approved symbol,Approved name,Accession numbers,RefSeq IDs
ABCC5,ATP binding cassette subfamily C member 5,AF104942,NM_005688
ABCC6,ATP binding cassette subfamily C member 6,AF076622
ABCC8,ATP binding cassette subfamily C member 8,L78207,NM_000352
ABCC9,ATP binding cassette subfamily C member 9,AF061323,NM_005691
ABCC10,ATP binding cassette subfamily C member 10,U66684,NM_033450
ABCC11,ATP binding cassette subfamily C member 11,AF367202,NM_032583
ABCC12,ATP binding cassette subfamily C member 12,AY040220,NM_033226
ABCD1,ATP binding cassette subfamily D member 1,Z21876,NM_000033
ABCD2,ATP binding cassette subfamily D member 2,U28150,NM_005164
ABCD3,ATP binding cassette subfamily D member 3,M81182,NM_002858
ABCD4,ATP binding cassette subfamily D member 4,AF009746,NM_005050
ABCE1,ATP binding cassette subfamily E member 1,X74987,NM_002940
ABCF1,ATP binding cassette subfamily F member 1,AF027302
ABCF2,ATP binding cassette subfamily F member 2,AJ005016,NM_005692
ABCF3,ATP binding cassette subfamily F member 3,U66685,NM_018358
ABCG1,ATP binding cassette subfamily G member 1,U34919,NM_207174
ABCG2,ATP binding cassette subfamily G member 2 (JR blood group),AF103796,NM_004827
ABCG4,ATP binding cassette subfamily G member 4,AJ300465,NM_022169
ABCG5,ATP binding cassette subfamily G member 5,T93792,NM_022436
ABCG8,ATP binding cassette subfamily G member 8,AF320294,NM_022437
ABHD1,abhydrolase domain containing 1,AK093447,NM_032604
ABHD2,"abhydrolase domain containing 2, acylglycerol lipase",X12433
ABHD3,"abhydrolase domain containing 3, phospholipase",AK024880
ABHD4,"abhydrolase domain containing 4, N-acyl phospholipase B",AK022878
ABHD5,"abhydrolase domain containing 5, lysophosphatidic acid acyltransferase",AF007132,NM_016006
ABHD6,"abhydrolase domain containing 6, acylglycerol lipase",AF225418,NM_020676
ABHD8,abhydrolase domain containing 8,AK021805,NM_024527
ABHD10,"abhydrolase domain containing 10, depalmitoylase",AL713726,NM_018394
ABHD11,abhydrolase domain containing 11,AF217971
ABHD12,"abhydrolase domain containing 12, lysophospholipase",AL117442,NM_015600
ABHD12B,abhydrolase domain containing 12B,BG698443
ABHD13,abhydrolase domain containing 13,AK027812,NM_032859
ABHD14A,abhydrolase domain containing 14A,AY358201,NM_015407
ABHD14B,abhydrolase domain containing 14B,AK075112,NM_032750
ABHD15,abhydrolase domain containing 15,AK056717,NM_198147
ABHD16A,"abhydrolase domain containing 16A, phospholipase",AF129756
ABHD16B,abhydrolase domain containing 16B
ABHD17A,"abhydrolase domain containing 17A, depalmitoylase",BC020512,NM_031213
ABHD17B,"abhydrolase domain containing 17B, depalmitoylase",AF151825,NM_016014
ABHD17C,"abhydrolase domain containing 17C, depalmitoylase",,NM_021214
ABHD18,abhydrolase domain containing 18,AK024759,NM_001039717
ABI1,abl interactor 1,U87166,NM_005470
ABI2,abl interactor 2,AF260261,NM_005759
ABI3,ABI family member 3,AB037886,NM_016428
ABI3BP,ABI family member 3 binding protein,AB056106
ABITRAM,actin binding transcription modulator,BC015795,NM_017832
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",M14752,NM_007313
ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",M14904,NM_005158
ABLIM1,actin binding LIM protein 1,AF005654
ABLIM2,actin binding LIM protein family member 2,AB058711,NM_001130083
ABLIM3,actin binding LIM protein family member 3,AB020650,NM_014945
ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",AF134415,NM_020469
ABR,ABR activator of RhoGEF and GTPase,L19704
ABRA,actin binding Rho activating protein,AF503617,NM_139166
ABRACL,ABRA C-terminal like,BC014953,NM_021243
ABRAXAS1,"abraxas 1, BRCA1 A complex subunit",AK023676,NM_139076
ABRAXAS2,"abraxas 2, BRISC complex subunit",D63877,NM_032182
ABT1,activator of basal transcription 1,AB027258
ABTB1,ankyrin repeat and BTB domain containing 1,AB053324,NM_172027
ABTB2,ankyrin repeat and BTB domain containing 2,AK056863,NM_145804
ABTB3,ankyrin repeat and BTB domain containing 3,AK091276,NM_152322
ACAA1,acetyl-CoA acyltransferase 1,X14813,NM_001607
ACAA2,acetyl-CoA acyltransferase 2,D16294,NM_006111
ACACA,acetyl-CoA carboxylase alpha,U19822,NM_198836
ACACB,acetyl-CoA carboxylase beta,U89344,NM_001093
ACAD8,acyl-CoA dehydrogenase family member 8,AF126245,NM_014384
ACAD9,acyl-CoA dehydrogenase family member 9,AF078854,NM_014049
ACAD10,acyl-CoA dehydrogenase family member 10,AY323912,NM_025247
ACAD11,acyl-CoA dehydrogenase family member 11,BC019607,NM_032169
ACADL,acyl-CoA dehydrogenase long chain,M74096,NM_001608
ACADM,acyl-CoA dehydrogenase medium chain,M16827
ACADS,acyl-CoA dehydrogenase short chain,M26393,NM_000017
ACADSB,acyl-CoA dehydrogenase short/branched chain,U12778,NM_001609
ACADVL,acyl-CoA dehydrogenase very long chain,BC012912,NM_000018
ACAN,aggrecan,M55172,NM_001135
ACAP1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",D30758,NM_014716
ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",,NM_012287
ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",AF411981,NM_030649
ACAT1,acetyl-CoA acetyltransferase 1,D90228,NM_000019
ACAT2,acetyl-CoA acetyltransferase 2,AF356877,NM_005891
ACBD3,acyl-CoA binding domain containing 3,AB043587,NM_022735
ACBD4,acyl-CoA binding domain containing 4,BC029164,NM_024722
ACBD5,acyl-CoA binding domain containing 5,AF505653,NM_145698
ACBD6,acyl-CoA binding domain containing 6,BC006505,NM_032360
ACBD7,acyl-CoA binding domain containing 7,AK095538
ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),AY026508,NM_032592
ACCSL,1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like,,NM_001031854
ACD,ACD shelterin complex subunit and telomerase recruitment factor,AF070535,NM_022914
ACE,angiotensin I converting enzyme,J04144,NM_000789
ACE2,angiotensin converting enzyme 2,AF291820
ACER1,alkaline ceramidase 1,AF347024,NM_133492
ACER2,alkaline ceramidase 2,AK123581,NM_001010887
ACER3,alkaline ceramidase 3,AF214454,NM_018367
ACHE,acetylcholinesterase (Yt blood group),,NM_015831
ACIN1,apoptotic chromatin condensation inducer 1,AB014570,NM_014977
ACKR1,atypical chemokine receptor 1 (Duffy blood group),U01839,NM_002036
ACKR2,atypical chemokine receptor 2,U94888,NM_001296
ACKR3,atypical chemokine receptor 3,BC008459,NM_020311
ACKR4,atypical chemokine receptor 4,AF110640,NM_016557
ACLY,ATP citrate lyase,X64330,NM_001096
ACMSD,aminocarboxymuconate semialdehyde decarboxylase,AB071418
ACO1,aconitase 1,M58510,NM_002197
ACO2,aconitase 2,AH006514,NM_001098
ACOD1,aconitate decarboxylase 1,,NM_001258406
ACOT1,acyl-CoA thioesterase 1,DQ082754,NM_001037161
ACOT2,acyl-CoA thioesterase 2,"AY005822, AK001939",NM_006821
ACOT4,acyl-CoA thioesterase 4,BC031799,NM_152331
ACOT6,acyl-CoA thioesterase 6,"DQ082756, BF109853",NM_001037162
ACOT7,acyl-CoA thioesterase 7,AB074417,NM_007274
ACOT8,acyl-CoA thioesterase 8,AF014404,NM_183386
ACOT9,acyl-CoA thioesterase 9,AF132950,NM_012332
ACOT11,acyl-CoA thioesterase 11,AB014607,NM_015547
ACOT12,acyl-CoA thioesterase 12,AB078619,NM_130767
ACOT13,acyl-CoA thioesterase 13,AF220186,NM_018473
ACOX1,acyl-CoA oxidase 1,U03254
ACOX2,acyl-CoA oxidase 2,X95190,NM_003500
ACOX3,"acyl-CoA oxidase 3, pristanoyl",Y11411
ACOXL,acyl-CoA oxidase like,,NM_018308
ACP1,acid phosphatase 1,M87546,NM_004300
ACP2,"acid phosphatase 2, lysosomal",X15525,NM_001610
ACP3,acid phosphatase 3,,NM_001099
ACP4,acid phosphatase 4,AF321918,NM_033068
ACP5,"acid phosphatase 5, tartrate resistant",X14618
ACP6,"acid phosphatase 6, lysophosphatidic",BC009965,NM_016361
ACP7,"acid phosphatase 7, tartrate resistant (putative)",,NM_001004318
ACR,acrosin,CR456366,NM_001097
ACRBP,acrosin binding protein,AB051833,NM_032489
ACRV1,acrosomal vesicle protein 1,AK223335,NM_001612
ACSBG1,acyl-CoA synthetase bubblegum family member 1,AB014531,NM_015162
ACSBG2,acyl-CoA synthetase bubblegum family member 2,,NM_030924
ACSF2,acyl-CoA synthetase family member 2,"AK024573, BC012053",NM_025149
ACSF3,acyl-CoA synthetase family member 3,AK075499,NM_174917
ACSL1,acyl-CoA synthetase long chain family member 1,BC026290,NM_001995
ACSL3,acyl-CoA synthetase long chain family member 3,D89053,NM_004457
ACSL4,acyl-CoA synthetase long chain family member 4,BC034959,NM_004458
ACSL5,acyl-CoA synthetase long chain family member 5,AB033899,NM_016234
ACSL6,acyl-CoA synthetase long chain family member 6,AB020644,NM_015256
ACSM1,acyl-CoA synthetase medium chain family member 1,AB059429,NM_052956
ACSM2A,acyl-CoA synthetase medium chain family member 2A,"AK091878, AK096039",NM_001308172
ACSM2B,acyl-CoA synthetase medium chain family member 2B,AY160217,NM_182617
ACSM3,acyl-CoA synthetase medium chain family member 3,D16350,NM_005622
ACSM4,acyl-CoA synthetase medium chain family member 4,,NM_001080454
ACSM5,acyl-CoA synthetase medium chain family member 5,,NM_017888
ACSM6,acyl-CoA synthetase medium chain family member 6,,NM_207321
ACSS1,acyl-CoA synthetase short chain family member 1,,NM_032501
ACSS2,acyl-CoA synthetase short chain family member 2,AF263614,NM_018677
ACSS3,acyl-CoA synthetase short chain family member 3,,NM_024560
ACTA1,"actin alpha 1, skeletal muscle",J00068,NM_001100
ACTA2,"actin alpha 2, smooth muscle",X13839,NM_001613
ACTB,actin beta,M28424,NM_001101
ACTBL2,actin beta like 2,,NM_001017992
ACTC1,actin alpha cardiac muscle 1,BC009978,NM_005159
ACTG1,actin gamma 1,,NM_001614
ACTG2,"actin gamma 2, smooth muscle",,NM_001615
ACTL6A,actin like 6A,AK098691,NM_004301
ACTL6B,actin like 6B,AB015906,NM_016188
ACTL7A,actin like 7A,BC014610,NM_006687
ACTL7B,actin like 7B,BC033789,NM_006686
ACTL8,actin like 8,AK057339,NM_030812
ACTL9,actin like 9,,NM_178525
ACTL10,actin like 10,AL121906
ACTMAP,actin maturation protease,AK123126,NM_198476
ACTN1,actinin alpha 1,M95178,NM_001102
ACTN2,actinin alpha 2,BC047901,NM_001103
ACTN3,actinin alpha 3,M86407,NM_001104
ACTN4,actinin alpha 4,D89980
ACTR1A,actin related protein 1A,X82206
ACTR1B,actin related protein 1B,X82207,NM_005735
ACTR2,actin related protein 2,AF006082,NM_001005386
ACTR3,actin related protein 3,AF006083,NM_005721
ACTR3B,actin related protein 3B,,NM_020445
ACTR3C,actin related protein 3C
ACTR5,actin related protein 5,AK022847,NM_024855
ACTR6,actin related protein 6,AF212251,NM_022496
ACTR8,actin related protein 8,,NM_022899
ACTR10,actin related protein 10,AF220190
ACTRT1,actin related protein T1,AF440739,NM_138289
ACTRT2,actin related protein T2,"AF440740, AB057364",NM_080431
ACTRT3,actin related protein T3,AK055346,NM_032487
ACVR1,activin A receptor type 1,,NM_001105
ACVR1B,activin A receptor type 1B,,NM_020328
ACVR1C,activin A receptor type 1C,BC022530,NM_145259
ACVR2A,activin A receptor type 2A,,NM_001616
ACVR2B,activin A receptor type 2B,X77533,NM_001106
ACVRL1,activin A receptor like type 1,L17075,NM_000020
ACY1,aminoacylase 1,L07548,NM_000666
ACY3,aminoacylase 3,BC008689,NM_080658
ACYP1,acylphosphatase 1,X84194
ACYP2,acylphosphatase 2,X84195
ADA,adenosine deaminase,X02994,NM_000022
ADA2,adenosine deaminase 2,AF190746
ADAD1,adenosine deaminase domain containing 1,AK057303,NM_139243
ADAD2,adenosine deaminase domain containing 2,AF447586,NM_139174
ADAL,adenosine deaminase like,,NM_001324366
ADAM2,ADAM metallopeptidase domain 2,U52370,NM_001464
ADAM7,ADAM metallopeptidase domain 7,AF090327,NM_003817
ADAM8,ADAM metallopeptidase domain 8,D26579,NM_001109
ADAM9,ADAM metallopeptidase domain 9,U41766
ADAM10,ADAM metallopeptidase domain 10,AF009615,NM_001110
ADAM11,ADAM metallopeptidase domain 11,D17390,NM_002390
ADAM12,ADAM metallopeptidase domain 12,AF023476
ADAM15,ADAM metallopeptidase domain 15,U46005,NM_003815
ADAM17,ADAM metallopeptidase domain 17,U69611
ADAM18,ADAM metallopeptidase domain 18,AJ133004,NM_014237
ADAM19,ADAM metallopeptidase domain 19,AF311317,NM_033274
ADAM20,ADAM metallopeptidase domain 20,AF029899
ADAM21,ADAM metallopeptidase domain 21,AF029900
ADAM22,ADAM metallopeptidase domain 22,AB009671,NM_021723
ADAM23,ADAM metallopeptidase domain 23,AB009672,NM_003812
ADAM28,ADAM metallopeptidase domain 28,AJ242015,NM_021778
ADAM29,ADAM metallopeptidase domain 29,AF171929
ADAM30,ADAM metallopeptidase domain 30,AF171932,NM_021794
ADAM32,ADAM metallopeptidase domain 32,BC026085,NM_145004
ADAM33,ADAM metallopeptidase domain 33,"AL117415, AB055891",NM_025220
ADAMDEC1,ADAM like decysin 1,Y13323,NM_014479
ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1,AF060152
ADAMTS2,ADAM metallopeptidase with thrombospondin type 1 motif 2,AJ003125,NM_014244
ADAMTS3,ADAM metallopeptidase with thrombospondin type 1 motif 3,AB002364
ADAMTS4,ADAM metallopeptidase with thrombospondin type 1 motif 4,AB014588,NM_005099
ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5,AF142099
ADAMTS6,ADAM metallopeptidase with thrombospondin type 1 motif 6,AF140674,NM_197941
ADAMTS7,ADAM metallopeptidase with thrombospondin type 1 motif 7,AF140675,NM_014272
ADAMTS8,ADAM metallopeptidase with thrombospondin type 1 motif 8,AF060153,NM_007037
ADAMTS9,ADAM metallopeptidase with thrombospondin type 1 motif 9,AF261918
ADAMTS10,ADAM metallopeptidase with thrombospondin type 1 motif 10,AF163762,NM_030957
ADAMTS12,ADAM metallopeptidase with thrombospondin type 1 motif 12,AJ250725,NM_030955
ADAMTS13,ADAM metallopeptidase with thrombospondin type 1 motif 13,AJ011374,NM_139025
ADAMTS14,ADAM metallopeptidase with thrombospondin type 1 motif 14,AF358666,NM_080722
ADAMTS15,ADAM metallopeptidase with thrombospondin type 1 motif 15,AJ315733,NM_139055
ADAMTS16,ADAM metallopeptidase with thrombospondin type 1 motif 16,AJ315734,NM_139056
ADAMTS17,ADAM metallopeptidase with thrombospondin type 1 motif 17,AJ315735,NM_139057
ADAMTS18,ADAM metallopeptidase with thrombospondin type 1 motif 18,AJ311903
ADAMTS19,ADAM metallopeptidase with thrombospondin type 1 motif 19,AJ311904,NM_133638
ADAMTS20,ADAM metallopeptidase with thrombospondin type 1 motif 20,AF488804,NM_025003
ADAMTSL1,ADAMTS like 1,AF176313
ADAMTSL2,ADAMTS like 2,AB011177,NM_014694
ADAMTSL3,ADAMTS like 3,AF237652,NM_207517
ADAMTSL4,ADAMTS like 4,BC027478,NM_019032
ADAMTSL5,ADAMTS like 5,BC040620,NM_213604
ADAP1,ArfGAP with dual PH domains 1,AJ006422,NM_006869
ADAP2,ArfGAP with dual PH domains 2,AJ238994,NM_018404
ADAR,adenosine deaminase RNA specific,BC038227,NM_001111
ADARB1,adenosine deaminase RNA specific B1,U76420,NM_015833
ADARB2,adenosine deaminase RNA specific B2 (inactive),AF034837,NM_018702
ADAT1,adenosine deaminase tRNA specific 1,AF125188,NM_012091
ADAT2,adenosine deaminase tRNA specific 2,BC037955,NM_001286259
ADAT3,adenosine deaminase tRNA specific 3,BC011824,NM_138422
ADCK1,aarF domain containing kinase 1,AK096919,NM_020421
ADCK2,aarF domain containing kinase 2,AF131745,NM_052853
ADCK5,aarF domain containing kinase 5,BC032402,NM_174922
ADCY1,adenylate cyclase 1,L05500,NM_021116
ADCY2,adenylate cyclase 2,AB028983,NM_020546
ADCY3,adenylate cyclase 3,AF033861
ADCY4,adenylate cyclase 4,AF497516
ADCY5,adenylate cyclase 5,U65473,NM_183357
ADCY6,adenylate cyclase 6,,NM_020983
ADCY7,adenylate cyclase 7,D25538
ADCY8,adenylate cyclase 8,Z35309
ADCY9,adenylate cyclase 9,AF036927
ADCY10,adenylate cyclase 10,AF271058,NM_018417
ADCYAP1,adenylate cyclase activating polypeptide 1,S83513,NM_001117
ADCYAP1R1,ADCYAP receptor type I,,NM_001118
ADD1,adducin 1,L07261,NM_014189
ADD2,adducin 2,X58199,NM_001617
ADD3,adducin 3,U37122,NM_019903
ADGB,androglobin,AK026774,NM_024694
ADGRA1,adhesion G protein-coupled receptor A1,AB058731
ADGRA2,adhesion G protein-coupled receptor A2,AB040964
ADGRA3,adhesion G protein-coupled receptor A3,AK095866
ADGRB1,adhesion G protein-coupled receptor B1,AB005297,NM_001702
ADGRB2,adhesion G protein-coupled receptor B2,AB005298,NM_001703
ADGRB3,adhesion G protein-coupled receptor B3,AB005299
ADGRD1,adhesion G protein-coupled receptor D1,AY278561,NM_198827
ADGRD2,adhesion G protein-coupled receptor D2,AY278562,NM_182611
ADGRE1,adhesion G protein-coupled receptor E1,X81479
ADGRE2,adhesion G protein-coupled receptor E2,AF114491
ADGRE3,adhesion G protein-coupled receptor E3,AF239764,NM_032571
ADGRE5,adhesion G protein-coupled receptor E5,,NM_078481
ADGRF1,adhesion G protein-coupled receptor F1,AB083618,NM_153840
ADGRF3,adhesion G protein-coupled receptor F3,AB083619,NM_153835
ADGRF4,adhesion G protein-coupled receptor F4,AK095395,NM_153838
ADGRF5,adhesion G protein-coupled receptor F5,AB018301,NM_015234
ADGRG1,adhesion G protein-coupled receptor G1,AJ011001
ADGRG2,adhesion G protein-coupled receptor G2,X81892
ADGRG3,adhesion G protein-coupled receptor G3,AY140959,NM_170776
ADGRG4,adhesion G protein-coupled receptor G4,AY140954
ADGRG5,adhesion G protein-coupled receptor G5,AY140956,NM_153837
ADGRG6,adhesion G protein-coupled receptor G6,AK027843
ADGRG7,adhesion G protein-coupled receptor G7,AK027360
ADGRL1,adhesion G protein-coupled receptor L1,AB020628,NM_014921
ADGRL2,adhesion G protein-coupled receptor L2,AJ131581,NM_012302
ADGRL3,adhesion G protein-coupled receptor L3,AB018311
ADGRL4,adhesion G protein-coupled receptor L4,AF192403,NM_022159
ADGRV1,adhesion G protein-coupled receptor V1,AB014586,NM_032119
ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide",M12963,NM_000667
ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",AF153821,NM_000668
ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",M12272,NM_000669
ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide",M15943,NM_000670
ADH5,"alcohol dehydrogenase 5 (class III), chi polypeptide",M29872,NM_000671
ADH6,alcohol dehydrogenase 6 (class V),AK092768,NM_000672
ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",X76342,NM_000673
ADHFE1,alcohol dehydrogenase iron containing 1,AK056992,NM_144650
ADI1,acireductone dioxygenase 1,,NM_018269
ADIG,adipogenin,BC029594,NM_001018082
ADIPOQ,"adiponectin, C1Q and collagen domain containing",D45371,NM_004797
ADIPOR1,adiponectin receptor 1,,NM_015999
ADIPOR2,adiponectin receptor 2,AY424280,NM_024551
ADIRF,adipogenesis regulatory factor,BC004471,NM_006829
ADISSP,adipose secreted signaling protein,AK000557,NM_001039140
ADK,adenosine kinase,U50196,NM_006721
ADM,adrenomedullin,D14874,NM_001124
ADM2,adrenomedullin 2,AF529213,NM_024866
ADM5,adrenomedullin 5 (putative),BC032764,NM_001101340
ADNP,activity dependent neuroprotector homeobox,AF250860,NM_181442
ADNP2,ADNP homeobox 2,AB020670,NM_014913
ADO,2-aminoethanethiol dioxygenase,BC028589,NM_032804
ADORA1,adenosine A1 receptor,BC026340,NM_000674
ADORA2A,adenosine A2a receptor,X68486,NM_000675
ADORA2B,adenosine A2b receptor,M97759
ADORA3,adenosine A3 receptor,BC029831,"NM_000677, NM_020683"
ADPGK,ADP dependent glucokinase,AL136873,NM_031284
ADPRH,ADP-ribosylarginine hydrolase,L13291,NM_001125
ADPRHL1,ADP-ribosylhydrolase like 1,AJ313429,NM_138430
ADPRM,"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent",BC070155,NM_020233
ADPRS,ADP-ribosylserine hydrolase,AJ427295,NM_017825
ADRA1A,adrenoceptor alpha 1A,L31774,NM_033303
ADRA1B,adrenoceptor alpha 1B,L31773
ADRA1D,adrenoceptor alpha 1D,U03864,NM_000678
ADRA2A,adrenoceptor alpha 2A,AF284095,NM_000681
ADRA2B,adrenoceptor alpha 2B,M34041
ADRA2C,adrenoceptor alpha 2C,AY455666,NM_000683
ADRB1,adrenoceptor beta 1,J03019
ADRB2,adrenoceptor beta 2,AF022953,NM_000024
ADRB3,adrenoceptor beta 3,AY487247,NM_000025
ADRM1,ADRM1 26S proteasome ubiquitin receptor,D64154
ADSL,adenylosuccinate lyase,X65867,NM_000026
ADSS1,adenylosuccinate synthase 1,AK095921
ADSS2,adenylosuccinate synthase 2,BC012356,NM_001126
ADTRP,androgen dependent TFPI regulating protein,AJ420520,NM_032744
AEBP1,AE binding protein 1,D86479,NM_001129
AEBP2,AE binding protein 2,,NM_153207
AEN,apoptosis enhancing nuclease,BC020988,NM_022767
AFAP1,actin filament associated protein 1,AB209676,NM_021638
AFAP1L1,actin filament associated protein 1 like 1,AK094067,NM_152406
AFAP1L2,actin filament associated protein 1 like 2,BC024314,NM_032550
AFDN,"afadin, adherens junction formation factor",AB011399,NM_005936
AFF1,ALF transcription elongation factor 1,L22179,NM_005935
AFF2,ALF transcription elongation factor 2,U48436,NM_002025
AFF3,ALF transcription elongation factor 3,U34360,NM_002285
AFF4,ALF transcription elongation factor 4,AF197927,NM_014423
AFG1L,AFG1 like ATPase,AF520418,NM_145315
AFG2A,AFG2 AAA ATPase homolog A,AF361489,NM_145207
AFG2B,AFG2 AAA ATPase homolog B,AK023232,NM_024063
AFG3L2,AFG3 like matrix AAA peptidase subunit 2,Y18314,NM_006796
AFM,afamin,L32140
AFMID,arylformamidase,BX648442,NM_001145526
AFP,alpha fetoprotein,V01514
AFTPH,aftiphilin,AB073356,NM_017657
AGA,aspartylglucosaminidase,X55330,NM_000027
AGAP1,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 1",AF413078,NM_014914
AGAP2,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 2",AF413077,NM_014770
AGAP3,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 3",AF413079,NM_031946
AGAP4,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 4",AF411132,NM_133446
AGAP5,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 5",,NM_001144000
AGAP6,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 6",,NM_001077665
AGAP8,"symbol withdrawn, see [HGNC:23459](/data/gene-symbol-report/#!/hgnc_id/HGNC:23459)"
AGAP9,"ArfGAP with GTPase domain, ankyrin repeat and PH domain 9",,NM_001190810
AGAP10,"symbol withdrawn, see [HGNC:23659](/data/gene-symbol-report/#!/hgnc_id/HGNC:23659)"
AGBL1,AGBL carboxypeptidase 1,AK056872,NM_152336
AGBL2,AGBL carboxypeptidase 2,,NM_024783
AGBL3,AGBL carboxypeptidase 3,BC030651,NM_178563
AGBL4,AGBL carboxypeptidase 4,AK027348,NM_032785
AGBL5,AGBL carboxypeptidase 5,BC007415,NM_021831
AGER,advanced glycosylation end-product specific receptor,M91211,NM_001136
AGFG1,ArfGAP with FG repeats 1,,NM_004504
AGFG2,ArfGAP with FG repeats 2,AF015042,NM_006076
AGGF1,angiogenic factor with G-patch and FHA domains 1,AK001145,NM_018046
AGK,acylglycerol kinase,BC022777,NM_018238
